;CAR;NAME;NSQAR;CAR.1;CARINSEE;LAR;NSQCO;SURFACE;PERIMETRE;Geometry_X;Geometry_Y
0;3;Temple;750000003;3;3;3eme Ardt;750001537;1170882828;4519264;48.862872;2.360001
1;19;Buttes-Chaumont;750000019;19;19;19eme Ardt;750001537;6792651129;11253182;48.887076;2.384821
2;14;Observatoire;750000014;14;14;14eme Ardt;750001537;5614877309;10317483;48.829245;2.326542
3;10;Entrepot;750000010;10;10;10eme Ardt;750001537;2891739442;6739375;48.876130;2.360728
4;12;Reuilly;750000012;12;12;12eme Ardt;750001537;16314782637;24089666;48.834974;2.421325
5;16;Passy;750000016;16;16;16eme Ardt;750001537;16372542129;17416110;48.860392;2.261971
6;11;Popincourt;750000011;11;11;11eme Ardt;750001537;3665441552;8282012;48.859059;2.380058
7;2;Bourse;750000002;2;2;2eme Ardt;750001537;991153745;4554104;48.868279;2.342803
8;4;Hotel-de-Ville;750000004;4;4;4eme Ardt;750001537;1600585632;5420908;48.854341;2.357630
9;17;Batignolles-Monceau;750000017;17;17;17eme Ardt;750001537;5668834504;10775580;48.887327;2.306777
10;18;Buttes-Montmartre;750000018;18;18;18eme Ardt;750001537;5996051308;9916464;48.892569;2.348161
11;1;Louvre;750000001;1;1;1er Ardt;750001537;1824612860;6054937;48.862563;2.336443
12;5;Pantheon;750000005;5;5;5eme Ardt;750001537;2539374623;6239195;48.844443;2.350715
13;7;Palais-Bourbon;750000007;7;7;7eme Ardt;750001537;4090057185;8099425;48.856174;2.312188
14;20;Menilmontant;750000020;20;20;20eme Ardt;750001537;5983446037;10704940;48.863461;2.401188
15;8;elysee;750000008;8;8;8eme Ardt;750001537;3880036397;7880533;48.872721;2.312554
16;9;Opera;750000009;9;9;9eme Ardt;750001537;2178303275;6471588;48.877164;2.337458
17;13;Gobelins;750000013;13;13;13eme Ardt;750001537;7149311091;11546547;48.828388;2.362272
18;15;Vaugirard;750000015;15;15;15eme Ardt;750001537;8494994081;13678798;48.840085;2.292826
19;6;Luxembourg;750000006;6;6;6eme Ardt;750001537;2153095586;6483687;48.849130;2.332898
